,text,scores,boxes,centroid,source
132,0,0.5505677461624146,"[[612.0, 785.0], [642.0, 785.0], [642.0, 809.0], [612.0, 809.0]]",POINT (627 797),"https://www.google.com/maps/@-6.9166128,106.9307722,20z?"
133,umi,0.9483047127723694,"[[592.0, 793.0], [618.0, 793.0], [618.0, 807.0], [592.0, 807.0]]",POINT (605 800),"https://www.google.com/maps/@-6.9166128,106.9307722,20z?"
134,noah's barbershop,0.9713029861450195,"[[690.0, 817.0], [818.0, 817.0], [818.0, 837.0], [690.0, 837.0]]",POINT (754 827),"https://www.google.com/maps/@-6.9166128,106.9307722,20z?"
135,& coffee sukabumi,0.9959859251976013,"[[698.0, 831.0], [818.0, 831.0], [818.0, 851.0], [698.0, 851.0]]",POINT (758 841),"https://www.google.com/maps/@-6.9166128,106.9307722,20z?"
136,tim penggerak pkk o,0.9662845134735107,"[[1174.0, 863.0], [1330.0, 865.0], [1330.0, 892.0], [1174.0, 891.0]]",POINT (1251.5272727272727 877.7454545454545),"https://www.google.com/maps/@-6.9166128,106.9307722,20z?"
137,kencana,0.9947766065597534,"[[202.0, 874.0], [291.0, 838.0], [303.0, 866.0], [214.0, 892.0]]",POINT (255.1791373845942 866.4544577649166),"https://www.google.com/maps/@-6.9166128,106.9307722,20z?"
138,transportasi umum )( apotek,0.963987410068512,"[[992.0, 24.0], [1256.0, 26.0], [1256.0, 48.0], [992.0, 46.0]]",POINT (1124 36),"https://www.google.com/maps/@-6.9154211,106.9307722,20z?"
139,y atm,0.8549933433532715,"[[1249.0, 21.0], [1326.0, 26.0], [1325.0, 48.0], [1248.0, 43.0]]",POINT (1287 34.5),"https://www.google.com/maps/@-6.9154211,106.9307722,20z?"
140,o pinisi relaxation,0.990497887134552,"[[466.0, 70.0], [600.0, 70.0], [600.0, 92.0], [466.0, 92.0]]",POINT (533 81),"https://www.google.com/maps/@-6.9154211,106.9307722,20z?"
141,choma,0.9837982058525085,"[[74.0, 267.0], [132.0, 267.0], [132.0, 289.0], [74.0, 289.0]]",POINT (103 278),"https://www.google.com/maps/@-6.9154211,106.9307722,20z?"
142,de'cookies,0.84500652551651,"[[886.0, 263.0], [992.0, 263.0], [992.0, 297.0], [886.0, 297.0]]",POINT (939 280),"https://www.google.com/maps/@-6.9154211,106.9307722,20z?"
143,renari,0.8959785103797913,"[[720.0, 291.0], [754.0, 291.0], [754.0, 307.0], [720.0, 307.0]]",POINT (737 299),"https://www.google.com/maps/@-6.9154211,106.9307722,20z?"
144,home o,0.9410440921783447,"[[880.0, 389.0], [954.0, 389.0], [954.0, 417.0], [880.0, 417.0]]",POINT (917 403),"https://www.google.com/maps/@-6.9154211,106.9307722,20z?"
145,o bandrek bp sukabumi,0.984900176525116,"[[984.0, 411.0], [1156.0, 411.0], [1156.0, 437.0], [984.0, 437.0]]",POINT (1070 424),"https://www.google.com/maps/@-6.9154211,106.9307722,20z?"
146,o griya angela,0.9456198811531067,"[[656.0, 452.0], [780.0, 452.0], [780.0, 474.0], [656.0, 474.0]]",POINT (718 463),"https://www.google.com/maps/@-6.9154211,106.9307722,20z?"
147,atan,0.9957128763198853,"[[1372.0, 506.0], [1404.0, 506.0], [1404.0, 520.0], [1372.0, 520.0]]",POINT (1388 513),"https://www.google.com/maps/@-6.9154211,106.9307722,20z?"
148,mushola al-karim,0.9493798613548279,"[[1522.0, 660.0], [1664.0, 660.0], [1664.0, 682.0], [1522.0, 682.0]]",POINT (1593 671),"https://www.google.com/maps/@-6.9154211,106.9307722,20z?"
149,husada dinas...,0.931736409664154,"[[1420.0, 723.0], [1524.0, 726.0], [1524.0, 746.0], [1420.0, 743.0]]",POINT (1472 734.5),"https://www.google.com/maps/@-6.9154211,106.9307722,20z?"
150,tempat gacor,0.9454118013381958,"[[1386.0, 789.0], [1510.0, 789.0], [1510.0, 811.0], [1386.0, 811.0]]",POINT (1448 800),"https://www.google.com/maps/@-6.9154211,106.9307722,20z?"
151,+ jbu,0.734437108039856,"[[1874.0, 785.0], [1916.0, 785.0], [1916.0, 809.0], [1874.0, 809.0]]",POINT (1895 797),"https://www.google.com/maps/@-6.9154211,106.9307722,20z?"
152,pengkola,0.9494038820266724,"[[1806.0, 801.0], [1868.0, 801.0], [1868.0, 821.0], [1806.0, 821.0]]",POINT (1837 811),"https://www.google.com/maps/@-6.9154211,106.9307722,20z?"
153,s,0.5749877095222473,"[[100.0, 851.0], [156.0, 851.0], [156.0, 865.0], [100.0, 865.0]]",POINT (128 858),"https://www.google.com/maps/@-6.9154211,106.9307722,20z?"
154,manan coffe,0.987877607345581,"[[1572.0, 845.0], [1688.0, 845.0], [1688.0, 873.0], [1572.0, 873.0]]",POINT (1630 859),"https://www.google.com/maps/@-6.9154211,106.9307722,20z?"
155,stn atm,0.7068254351615906,"[[1262.0, 26.0], [1326.0, 26.0], [1326.0, 46.0], [1262.0, 46.0]]",POINT (1294 36),"https://www.google.com/maps/@-6.9201876,106.9333342,20z?"
156,o warung newmmpoet,0.9471942186355591,"[[626.0, 52.0], [788.0, 52.0], [788.0, 72.0], [626.0, 72.0]]",POINT (707 62),"https://www.google.com/maps/@-6.9201876,106.9333342,20z?"
157,o food court ummi,0.9741301536560059,"[[1576.0, 85.0], [1718.0, 90.0], [1718.0, 112.0], [1576.0, 107.0]]",POINT (1647 98.5),"https://www.google.com/maps/@-6.9201876,106.9333342,20z?"
158,adireja,0.9940689206123352,"[[509.0, 111.0], [529.0, 114.0], [519.0, 178.0], [499.0, 175.0]]",POINT (514 144.5),"https://www.google.com/maps/@-6.9201876,106.9333342,20z?"
159,orthodontist sukabumi,0.9693018198013306,"[[1540.0, 191.0], [1718.0, 191.0], [1718.0, 217.0], [1540.0, 217.0]]",POINT (1629 204),"https://www.google.com/maps/@-6.9201876,106.9333342,20z?"
160,kos puri cendekia,0.9855221509933472,"[[298.0, 265.0], [446.0, 265.0], [446.0, 293.0], [298.0, 293.0]]",POINT (372 279),"https://www.google.com/maps/@-6.9201876,106.9333342,20z?"
161,kost griya qq 1/,0.9374051094055176,"[[300.0, 319.0], [412.0, 319.0], [412.0, 339.0], [300.0, 339.0]]",POINT (356 329),"https://www.google.com/maps/@-6.9201876,106.9333342,20z?"
162,o kresna poultry supplier,0.9792335629463196,"[[154.0, 335.0], [332.0, 335.0], [332.0, 361.0], [154.0, 361.0]]",POINT (243 348),"https://www.google.com/maps/@-6.9201876,106.9333342,20z?"
163,mie goreng mang uha,0.9713937640190125,"[[217.0, 458.0], [388.0, 465.0], [387.0, 493.0], [216.0, 486.0]]",POINT (302 475.5),"https://www.google.com/maps/@-6.9201876,106.9333342,20z?"
164,btpn kc sukabumi @,0.985159158706665,"[[810.0, 562.0], [969.0, 556.0], [970.0, 584.0], [811.0, 590.0]]",POINT (890 573),"https://www.google.com/maps/@-6.9201876,106.9333342,20z?"
165,vihara dharma ratna,0.995036244392395,"[[648.0, 600.0], [814.0, 600.0], [814.0, 626.0], [648.0, 626.0]]",POINT (731 613),"https://www.google.com/maps/@-6.9201876,106.9333342,20z?"
166,gedung wanita,0.9674113988876343,"[[1124.0, 632.0], [1250.0, 632.0], [1250.0, 652.0], [1124.0, 652.0]]",POINT (1187 642),"https://www.google.com/maps/@-6.9201876,106.9333342,20z?"
167,@ bni s,0.7015800476074219,"[[1852.0, 676.0], [1919.0, 676.0], [1919.0, 704.0], [1852.0, 704.0]]",POINT (1885.5 690),"https://www.google.com/maps/@-6.9201876,106.9333342,20z?"
168,p posbid i,0.8369449377059937,"[[1244.0, 708.0], [1322.0, 708.0], [1322.0, 728.0], [1244.0, 728.0]]",POINT (1283 718),"https://www.google.com/maps/@-6.9201876,106.9333342,20z?"
169,naximus gw,0.9978582262992859,"[[1326.0, 708.0], [1406.0, 708.0], [1406.0, 728.0], [1326.0, 728.0]]",POINT (1366 718),"https://www.google.com/maps/@-6.9201876,106.9333342,20z?"
170,posbid sls 1 o,0.8756928443908691,"[[988.0, 797.0], [1104.0, 797.0], [1104.0, 825.0], [988.0, 825.0]]",POINT (1046 811),"https://www.google.com/maps/@-6.9201876,106.9333342,20z?"
171,hotel )  rekomendasi aktivitas,0.9635583162307739,"[[612.0, 26.0], [872.0, 26.0], [872.0, 46.0], [612.0, 46.0]]",POINT (742 36),"https://www.google.com/maps/@-6.918996,106.9333342,20z?"
172,a sukabu,0.9384734630584717,"[[458.0, 48.0], [526.0, 48.0], [526.0, 62.0], [458.0, 62.0]]",POINT (492 55),"https://www.google.com/maps/@-6.918996,106.9333342,20z?"
173,thintofat boutique,0.9987595081329346,"[[1079.0, 59.0], [1229.0, 68.0], [1227.0, 94.0], [1077.0, 85.0]]",POINT (1153 76.5),"https://www.google.com/maps/@-6.918996,106.9333342,20z?"
174,atorium,0.9709988236427307,"[[1588.0, 122.0], [1642.0, 122.0], [1642.0, 136.0], [1588.0, 136.0]]",POINT (1615 129),"https://www.google.com/maps/@-6.918996,106.9333342,20z?"
175,tina snack,0.9885465502738953,"[[178.0, 157.0], [260.0, 157.0], [260.0, 177.0], [178.0, 177.0]]",POINT (219 167),"https://www.google.com/maps/@-6.918996,106.9333342,20z?"
176,1. adireja,0.9054702520370483,"[[74.0, 225.0], [149.0, 243.0], [142.0, 271.0], [67.0, 253.0]]",POINT (108 248),"https://www.google.com/maps/@-6.918996,106.9333342,20z?"
177,bank muamal,0.921640157699585,"[[1800.0, 217.0], [1916.0, 219.0], [1916.0, 241.0], [1800.0, 239.0]]",POINT (1858 229),"https://www.google.com/maps/@-6.918996,106.9333342,20z?"
178,o mninerstadiyah..,0.744674026966095,"[[1513.0, 235.0], [1653.0, 242.0], [1651.0, 274.0], [1511.0, 267.0]]",POINT (1582 254.5),"https://www.google.com/maps/@-6.918996,106.9333342,20z?"
179,nvn,0.9664959907531738,"[[582.0, 247.0], [618.0, 247.0], [618.0, 263.0], [582.0, 263.0]]",POINT (600 255),"https://www.google.com/maps/@-6.918996,106.9333342,20z?"
180,propolis store,0.9504326581954956,"[[766.0, 265.0], [908.0, 265.0], [908.0, 293.0], [766.0, 293.0]]",POINT (837 279),"https://www.google.com/maps/@-6.918996,106.9333342,20z?"
181,o sukabumi,0.9488701820373535,"[[978.0, 468.0], [1068.0, 468.0], [1068.0, 490.0], [978.0, 490.0]]",POINT (1023 479),"https://www.google.com/maps/@-6.918996,106.9333342,20z?"
182,al-rosid's family o,0.9752334952354431,"[[740.0, 484.0], [874.0, 484.0], [874.0, 506.0], [740.0, 506.0]]",POINT (807 495),"https://www.google.com/maps/@-6.918996,106.9333342,20z?"
183,o fakultas huku,0.9666693210601807,"[[1801.0, 514.0], [1916.0, 519.0], [1915.0, 540.0], [1800.0, 536.0]]",POINT (1857.5551069842552 527.231866505181),"https://www.google.com/maps/@-6.918996,106.9333342,20z?"
184,uozaki kost putri,0.9461424946784973,"[[838.0, 566.0], [982.0, 570.0], [982.0, 592.0], [838.0, 588.0]]",POINT (910 579),"https://www.google.com/maps/@-6.918996,106.9333342,20z?"
185,use of aura,0.7528772354125977,"[[594.0, 638.0], [708.0, 638.0], [708.0, 680.0], [594.0, 680.0]]",POINT (651 659),"https://www.google.com/maps/@-6.918996,106.9333342,20z?"
186,o rii,0.6879428625106812,"[[1868.0, 753.0], [1916.0, 753.0], [1916.0, 775.0], [1868.0, 775.0]]",POINT (1892 764),"https://www.google.com/maps/@-6.918996,106.9333342,20z?"
187,em,0.9622049331665039,"[[1892.0, 745.0], [1914.0, 745.0], [1914.0, 759.0], [1892.0, 759.0]]",POINT (1903 752),"https://www.google.com/maps/@-6.918996,106.9333342,20z?"
188,perpustakaan ummi,0.9905707836151123,"[[1704.0, 793.0], [1864.0, 793.0], [1864.0, 819.0], [1704.0, 819.0]]",POINT (1784 806),"https://www.google.com/maps/@-6.918996,106.9333342,20z?"
189,universitas,0.9972289800643921,"[[1268.0, 827.0], [1338.0, 827.0], [1338.0, 841.0], [1268.0, 841.0]]",POINT (1303 834),"https://www.google.com/maps/@-6.918996,106.9333342,20z?"
190,src chello,0.9942488074302673,"[[506.0, 859.0], [616.0, 859.0], [616.0, 881.0], [506.0, 881.0]]",POINT (561 870),"https://www.google.com/maps/@-6.918996,106.9333342,20z?"
191,s 86 sukabumi e,0.9432089924812317,"[[550.0, 2.0], [668.0, 2.0], [668.0, 16.0], [550.0, 16.0]]",POINT (609 9),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
192,seblakseuhah 06,0.9459999799728394,"[[760.0, 2.0], [878.0, 2.0], [878.0, 16.0], [760.0, 16.0]]",POINT (819 9),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
193,p  transportasi umum,0.9256125688552856,"[[979.0, 20.0], [1160.0, 26.0], [1159.0, 54.0], [978.0, 48.0]]",POINT (1069 37),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
194,rumah sakit belakang,0.9833644032478333,"[[634.0, 47.0], [803.0, 71.0], [800.0, 93.0], [631.0, 69.0]]",POINT (717 70),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
195,padang,0.9322816133499146,"[[979.0, 47.0], [1021.0, 52.0], [1019.0, 68.0], [977.0, 63.0]]",POINT (999 57.5),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
196,gedung muraz,0.9652177095413208,"[[1264.0, 46.0], [1390.0, 46.0], [1390.0, 68.0], [1264.0, 68.0]]",POINT (1327 57),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
197,h.m.muraz o,0.9847571849822998,"[[1114.0, 56.0], [1220.0, 56.0], [1220.0, 78.0], [1114.0, 78.0]]",POINT (1167 67),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
198,kost ungu,0.9916572570800781,"[[250.0, 94.0], [352.0, 94.0], [352.0, 122.0], [250.0, 122.0]]",POINT (301 108),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
199,kost papinos o,0.9401952028274536,"[[408.0, 94.0], [526.0, 94.0], [526.0, 116.0], [408.0, 116.0]]",POINT (467 105),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
200,gedung depo arsip,0.9759358763694763,"[[482.0, 140.0], [598.0, 140.0], [598.0, 159.0], [482.0, 159.0]]",POINT (540 149.5),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
201,brc rame iki,0.9238437414169312,"[[946.0, 153.0], [1060.0, 153.0], [1060.0, 175.0], [946.0, 175.0]]",POINT (1003 164),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
202,eet food w,0.9771806597709656,"[[72.0, 177.0], [152.0, 177.0], [152.0, 199.0], [72.0, 199.0]]",POINT (112 188),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
203,rijal-asga,0.9924808740615845,"[[1384.0, 203.0], [1442.0, 203.0], [1442.0, 217.0], [1384.0, 217.0]]",POINT (1413 210),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
204,oko perlengkapan olahraga,0.9985729455947876,"[[470.0, 215.0], [608.0, 215.0], [608.0, 235.0], [470.0, 235.0]]",POINT (539 225),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
205,sop buah -,0.9953193664550781,"[[1492.0, 223.0], [1564.0, 223.0], [1564.0, 243.0], [1492.0, 243.0]]",POINT (1528 233),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
206,warung nas,0.9686977863311768,"[[1812.0, 247.0], [1919.0, 247.0], [1919.0, 275.0], [1812.0, 275.0]]",POINT (1865.5 261),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
207,basah,0.9428415298461914,"[[73.0, 278.0], [149.0, 284.0], [147.0, 312.0], [71.0, 306.0]]",POINT (110 295),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
208,j kojek,0.9723414182662964,"[[74.0, 297.0], [114.0, 297.0], [114.0, 313.0], [74.0, 313.0]]",POINT (94 305),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
209,mie ayam bunut,0.9628751277923584,"[[744.0, 298.0], [883.0, 310.0], [880.0, 338.0], [741.0, 326.0]]",POINT (812 318),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
210,no,0.6074651479721069,"[[70.0, 316.0], [113.0, 322.0], [110.0, 346.0], [67.0, 340.0]]",POINT (90 331),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
211,cikole sukabum,0.9827849268913269,"[[147.0, 334.0], [252.0, 341.0], [251.0, 363.0], [146.0, 356.0]]",POINT (199 348.5),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
212,sdn cikole @,0.8788174986839294,"[[1808.0, 357.0], [1914.0, 357.0], [1914.0, 385.0], [1808.0, 385.0]]",POINT (1861 371),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
213,bc ghost,0.948232889175415,"[[671.0, 384.0], [765.0, 391.0], [763.0, 419.0], [669.0, 412.0]]",POINT (717 401.5),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
214,bpkd kota sukabumi,0.9900780916213989,"[[481.0, 412.0], [644.0, 419.0], [643.0, 441.0], [480.0, 434.0]]",POINT (562 426.5),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
215,tikkum o,0.9629306197166443,"[[184.0, 472.0], [266.0, 472.0], [266.0, 500.0], [184.0, 500.0]]",POINT (225 486),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
216,seafooda,0.9751154184341431,"[[1756.0, 556.0], [1814.0, 556.0], [1814.0, 570.0], [1756.0, 570.0]]",POINT (1785 563),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
217,daichi salon o,0.9552394151687622,"[[147.0, 579.0], [259.0, 572.0], [261.0, 599.0], [149.0, 607.0]]",POINT (203.66235864297255 589.274098007539),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
218,o gm fkppi x24,0.929229199886322,"[[1334.0, 610.0], [1456.0, 610.0], [1456.0, 632.0], [1334.0, 632.0]]",POINT (1395 621),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
219,4d rm. salero basamo,0.9104114770889282,"[[414.0, 624.0], [584.0, 624.0], [584.0, 644.0], [414.0, 644.0]]",POINT (499 634),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
220,syamsudin sukabumi,0.9893372654914856,"[[72.0, 686.0], [204.0, 686.0], [204.0, 706.0], [72.0, 706.0]]",POINT (138 696),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
221,o safa catering,0.9900391697883606,"[[651.0, 681.0], [766.0, 686.0], [765.0, 712.0], [650.0, 707.0]]",POINT (708 696.5),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
222,shelter uv ummi venus,0.9736527800559998,"[[1542.0, 688.0], [1720.0, 686.0], [1720.0, 708.0], [1542.0, 710.0]]",POINT (1631 698),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
223,brun,0.9951907396316528,"[[1324.0, 745.0], [1354.0, 745.0], [1354.0, 759.0], [1324.0, 759.0]]",POINT (1339 752),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
224,semroa sio,0.7573733329772949,"[[524.0, 765.0], [644.0, 765.0], [644.0, 809.0], [524.0, 809.0]]",POINT (584 787),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
225,the elask,0.8859542608261108,"[[697.0, 779.0], [807.0, 784.0], [805.0, 820.0], [695.0, 815.0]]",POINT (751 799.5),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
226,kantor bkpsdm,0.9782270789146423,"[[1526.0, 787.0], [1654.0, 787.0], [1654.0, 815.0], [1526.0, 815.0]]",POINT (1590 801),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
227,takash bakehouse,0.8715639114379883,"[[500.0, 805.0], [623.0, 814.0], [620.0, 844.0], [497.0, 835.0]]",POINT (560 824.5),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
228,badan kep,0.8677768707275391,"[[1104.0, 805.0], [1166.0, 805.0], [1166.0, 827.0], [1104.0, 827.0]]",POINT (1135 816),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
229,sh,0.9562935829162598,"[[176.0, 821.0], [196.0, 821.0], [196.0, 839.0], [176.0, 839.0]]",POINT (186 830),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
230,warung nasi dpr,0.9910111427307129,"[[1313.0, 831.0], [1454.0, 838.0], [1453.0, 866.0], [1312.0, 859.0]]",POINT (1383 848.5),"https://www.google.com/maps/@-6.9178044,106.9333342,20z?"
231,hotel ( rekomendasi aktivitas,0.980694055557251,"[[612.0, 26.0], [872.0, 26.0], [872.0, 46.0], [612.0, 46.0]]",POINT (742 36),"https://www.google.com/maps/@-6.9166128,106.9333342,20z?"
232,museum )(  transportasi umum ),0.9476170539855957,"[[888.0, 24.0], [1172.0, 26.0], [1172.0, 48.0], [888.0, 46.0]]",POINT (1030 36),"https://www.google.com/maps/@-6.9166128,106.9333342,20z?"
233,araluz sukabum,0.9965535402297974,"[[158.0, 56.0], [260.0, 56.0], [260.0, 76.0], [158.0, 76.0]]",POINT (209 66),"https://www.google.com/maps/@-6.9166128,106.9333342,20z?"
234,kost uni yeni,0.9435523152351379,"[[1086.0, 52.0], [1200.0, 52.0], [1200.0, 72.0], [1086.0, 72.0]]",POINT (1143 62),"https://www.google.com/maps/@-6.9166128,106.9333342,20z?"
235,oko kaos,0.923392653465271,"[[165.0, 83.0], [211.0, 88.0], [209.0, 102.0], [163.0, 97.0]]",POINT (187 92.5),"https://www.google.com/maps/@-6.9166128,106.9333342,20z?"
236,instalasi bedah .,0.9831063747406006,"[[1814.0, 78.0], [1916.0, 78.0], [1916.0, 98.0], [1814.0, 98.0]]",POINT (1865 88),"https://www.google.com/maps/@-6.9166128,106.9333342,20z?"
237,ladaland sukabumi,0.9885447025299072,"[[367.0, 103.0], [532.0, 110.0], [531.0, 138.0], [366.0, 131.0]]",POINT (449 120.5),"https://www.google.com/maps/@-6.9166128,106.9333342,20z?"
238,cikole dalam,0.9561600089073181,"[[607.0, 134.0], [627.0, 138.0], [609.0, 240.0], [589.0, 237.0]]",POINT (607.9970026818111 187.17447546931695),"https://www.google.com/maps/@-6.9166128,106.9333342,20z?"
239,o melly tailor,0.9149382710456848,"[[988.0, 157.0], [1108.0, 157.0], [1108.0, 179.0], [988.0, 179.0]]",POINT (1048 168),"https://www.google.com/maps/@-6.9166128,106.9333342,20z?"
240,itama jasalab,0.9440901279449463,"[[610.0, 265.0], [700.0, 265.0], [700.0, 285.0], [610.0, 285.0]]",POINT (655 275),"https://www.google.com/maps/@-6.9166128,106.9333342,20z?"
241,kemon education,0.9785082936286926,"[[655.0, 344.0], [798.0, 351.0], [797.0, 379.0], [654.0, 372.0]]",POINT (726 361.5),"https://www.google.com/maps/@-6.9166128,106.9333342,20z?"
242,anandita fruitysalad,0.9210083484649658,"[[635.0, 388.0], [822.0, 397.0], [821.0, 423.0], [634.0, 414.0]]",POINT (728 405.5),"https://www.google.com/maps/@-6.9166128,106.9333342,20z?"
243,rumah kost ibu neni,0.9624794125556946,"[[810.0, 397.0], [980.0, 399.0], [980.0, 421.0], [810.0, 419.0]]",POINT (895 409),"https://www.google.com/maps/@-6.9166128,106.9333342,20z?"
244,hafidz juice o,0.9232509732246399,"[[926.0, 425.0], [1034.0, 422.0], [1034.0, 444.0], [926.0, 447.0]]",POINT (980 434.5),"https://www.google.com/maps/@-6.9166128,106.9333342,20z?"
245,kost rumah sugema,0.9921757578849792,"[[906.0, 449.0], [1072.0, 446.0], [1072.0, 474.0], [906.0, 477.0]]",POINT (989 461.5),"https://www.google.com/maps/@-6.9166128,106.9333342,20z?"
246,vienna mhb mart,0.9603598117828369,"[[1258.0, 506.0], [1400.0, 506.0], [1400.0, 528.0], [1258.0, 528.0]]",POINT (1329 517),"https://www.google.com/maps/@-6.9166128,106.9333342,20z?"
247,ratna's salon o,0.9844189286231995,"[[322.0, 554.0], [436.0, 554.0], [436.0, 576.0], [322.0, 576.0]]",POINT (379 565),"https://www.google.com/maps/@-6.9166128,106.9333342,20z?"
248,herry hermawan,0.7547460198402405,"[[738.0, 558.0], [896.0, 560.0], [896.0, 582.0], [738.0, 580.0]]",POINT (817 570),"https://www.google.com/maps/@-6.9166128,106.9333342,20z?"
249,oko pakaian seragar,0.9970586895942688,"[[660.0, 638.0], [762.0, 638.0], [762.0, 652.0], [660.0, 652.0]]",POINT (711 645),"https://www.google.com/maps/@-6.9166128,106.9333342,20z?"
250,paviliun anyelir,0.9987077116966248,"[[1340.0, 666.0], [1464.0, 666.0], [1464.0, 686.0], [1340.0, 686.0]]",POINT (1402 676),"https://www.google.com/maps/@-6.9166128,106.9333342,20z?"
251,masjid terdekat rs,0.9552074074745178,"[[1740.0, 684.0], [1862.0, 684.0], [1862.0, 698.0], [1740.0, 698.0]]",POINT (1801 691),"https://www.google.com/maps/@-6.9166128,106.9333342,20z?"
252,atm bank bri,0.9813269376754761,"[[234.0, 847.0], [356.0, 847.0], [356.0, 869.0], [234.0, 869.0]]",POINT (295 858),"https://www.google.com/maps/@-6.9166128,106.9333342,20z?"
253,transportasi umum  apotek,0.9458014965057373,"[[994.0, 24.0], [1248.0, 24.0], [1248.0, 50.0], [994.0, 50.0]]",POINT (1121 37),"https://www.google.com/maps/@-6.9154211,106.9333342,20z?"
254,jasa transportasi,0.9708698391914368,"[[624.0, 60.0], [760.0, 64.0], [760.0, 86.0], [624.0, 82.0]]",POINT (692 73),"https://www.google.com/maps/@-6.9154211,106.9333342,20z?"
255,surya,0.997299075126648,"[[431.0, 244.0], [454.0, 262.0], [415.0, 311.0], [393.0, 294.0]]",POINT (423.402703962704 277.5428438228438),"https://www.google.com/maps/@-6.9154211,106.9333342,20z?"
256,sukabumi o,0.9597261548042297,"[[74.0, 425.0], [164.0, 425.0], [164.0, 446.0], [74.0, 446.0]]",POINT (119 435.5),"https://www.google.com/maps/@-6.9154211,106.9333342,20z?"
257,o simi fit studio,0.9651980400085449,"[[447.0, 454.0], [570.0, 459.0], [569.0, 487.0], [446.0, 482.0]]",POINT (508 470.5),"https://www.google.com/maps/@-6.9154211,106.9333342,20z?"
258,ana,0.996065616607666,"[[278.0, 468.0], [300.0, 447.0], [316.0, 462.0], [294.0, 484.0]]",POINT (296.9722627737226 465.3377128953771),"https://www.google.com/maps/@-6.9154211,106.9333342,20z?"
259,kantor,0.9479479193687439,"[[1430.0, 540.0], [1508.0, 540.0], [1508.0, 568.0], [1430.0, 568.0]]",POINT (1469 554),"https://www.google.com/maps/@-6.9154211,106.9333342,20z?"
260,le apne,0.5207401514053345,"[[68.0, 608.0], [154.0, 608.0], [154.0, 652.0], [68.0, 652.0]]",POINT (111 630),"https://www.google.com/maps/@-6.9154211,106.9333342,20z?"
261,o aultras 33,0.9854415059089661,"[[710.0, 610.0], [804.0, 610.0], [804.0, 632.0], [710.0, 632.0]]",POINT (757 621),"https://www.google.com/maps/@-6.9154211,106.9333342,20z?"
262,lobby gedung anyelir,0.9929527044296265,"[[1408.0, 610.0], [1578.0, 610.0], [1578.0, 636.0], [1408.0, 636.0]]",POINT (1493 623),"https://www.google.com/maps/@-6.9154211,106.9333342,20z?"
263,bakso rentjana,0.8836401104927063,"[[369.0, 660.0], [500.0, 664.0], [499.0, 690.0], [368.0, 685.0]]",POINT (434.42750373692076 674.7653213751869),"https://www.google.com/maps/@-6.9154211,106.9333342,20z?"
264,bakmi dan,0.9642497301101685,"[[404.0, 658.0], [466.0, 658.0], [466.0, 672.0], [404.0, 672.0]]",POINT (435 665),"https://www.google.com/maps/@-6.9154211,106.9333342,20z?"
265,o kantor advokabiring..,0.8771233558654785,"[[411.0, 695.0], [580.0, 700.0], [579.0, 736.0], [410.0, 731.0]]",POINT (495 715.5),"https://www.google.com/maps/@-6.9154211,106.9333342,20z?"
