,text,scores,boxes,centroid,source
30,sukabumi,0.991136372089386,"[[597.0, 480.0], [666.0, 485.0], [665.0, 499.0], [596.0, 494.0]]",POINT (631 489.5),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
31,tekun.id sukabumi o,0.9718343615531921,"[[984.0, 472.0], [1130.0, 472.0], [1130.0, 500.0], [984.0, 500.0]]",POINT (1057 486),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
32,ochi racing team,0.9636189937591553,"[[130.0, 506.0], [254.0, 506.0], [254.0, 520.0], [130.0, 520.0]]",POINT (192 513),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
33,bruncl,0.9814350605010986,"[[372.0, 510.0], [402.0, 510.0], [402.0, 524.0], [372.0, 524.0]]",POINT (387 517),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
34,er bangor,0.9787365794181824,"[[1212.0, 522.0], [1272.0, 522.0], [1272.0, 536.0], [1212.0, 536.0]]",POINT (1242 529),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
35,o opang m,0.861716628074646,"[[510.0, 582.0], [600.0, 582.0], [600.0, 604.0], [510.0, 604.0]]",POINT (555 593),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
36,ntor dinas perhutani,0.955279529094696,"[[704.0, 596.0], [828.0, 594.0], [828.0, 614.0], [704.0, 616.0]]",POINT (766 605),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
37,gourmet coffeenery,0.9559834003448486,"[[874.0, 590.0], [1036.0, 590.0], [1036.0, 616.0], [874.0, 616.0]]",POINT (955 603),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
38,d,0.5955257415771484,"[[1154.0, 604.0], [1176.0, 604.0], [1176.0, 624.0], [1154.0, 624.0]]",POINT (1165 614),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
39,ocbcnisp,0.8862483501434326,"[[70.0, 622.0], [164.0, 622.0], [164.0, 644.0], [70.0, 644.0]]",POINT (117 633),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
40,gudang besar premiere o,0.9533564448356628,"[[1416.0, 626.0], [1600.0, 626.0], [1600.0, 652.0], [1416.0, 652.0]]",POINT (1508 639),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
41,dago sukabumi,0.9705355763435364,"[[1008.0, 670.0], [1106.0, 668.0], [1106.0, 684.0], [1008.0, 686.0]]",POINT (1057 677),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
