,latitude,longitude,nama,kategori,telp,alamat,website,last_review,date_last_review,last_review_rating,link,intersect
10,-6.9189493,106.9316043,De Chick Fried Chicken Dago,Restoran takeaway ayam goreng,Telepon: 0821-1000-4410 ,"Alamat: Jl. Ir. H. Juanda No.12, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,Tempat Nyaman 🤩 …,2 tahun lalu,5 bintang,"https://www.google.com/maps/place/De+Chick+Fried+Chicken+Dago/@-6.918996,106.9307722,20z/data=!4m6!3m5!1s0x2e68491b9781a06d:0xd343f7e599482402!8m2!3d-6.9189493!4d106.9316043!16s%2Fg%2F11g0h0f2lt?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
11,-6.9190869,106.9313529,Pedestrian Dago,Taman,Telepon: 0859-4739-6950 ,"Alamat: Jl. Ir. H. Juanda, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",Situs Web: kdp.sukabumikota.go.id ,"Suasananya enak buat ngabisin waktu, nikmatin suasana sukabumi. Sebelumnya cenderung dominan dengan yang jualan, sekarang sudah jauh lebih bagus penataannya. Rapi!",setahun lalu,4 bintang,"https://www.google.com/maps/place/Pedestrian+Dago/@-6.918996,106.9307722,20z/data=!4m6!3m5!1s0x2e6849d21f78bccf:0x8fcab11e73211ec6!8m2!3d-6.9190869!4d106.9313529!16s%2Fg%2F11mwrx_b5p?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
12,-6.919431,106.9313606,Ayam goreng dago,Restoran takeaway ayam goreng,Telepon: 0857-2000-0939 ,"Alamat: Jl. Ir. H. Juanda No.8, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,Lumayan enak,4 tahun lalu,4 bintang,"https://www.google.com/maps/place/Ayam+goreng+dago/@-6.918996,106.9307722,20z/data=!4m6!3m5!1s0x2e68496bef933233:0xd4d7a7b34d2036bf!8m2!3d-6.919431!4d106.9313606!16s%2Fg%2F11h51bm9g2?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
13,-6.9172989,106.9314903,"Kupat Tahu ""Walikota""",Kedai Sarapan,,"Alamat: Jl. Dewi Sartika No.12/50, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114 ",,,,,"https://www.google.com/maps/place/Kupat+Tahu+%22Walikota%22/@-6.9178044,106.9307722,20z/data=!4m6!3m5!1s0x2e6849f03707ec37:0x20927afc2b73410a!8m2!3d-6.9172989!4d106.9314903!16s%2Fg%2F11s36wtlkk?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
14,-6.9174034,106.9295519,Simpang Botram,Taman,,"Alamat: Jl. Surya Kencana No.29-31, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114 ",,Restoran Sunda no 1 d Sukabumi,2 bulan lalu,5 bintang,"https://www.google.com/maps/place/Simpang+Botram/@-6.9174034,106.9292302,132m/data=!3m1!1e3!4m6!3m5!1s0x2e6849aad0b0f365:0x5a5116020cdcf45b!8m2!3d-6.9174034!4d106.9295519!16s%2Fg%2F11vb6d4jfj?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
15,-6.9174261,106.9313277,Gang Makmoer,Kedai Kopi,,"Alamat: Jl Perpustakaan No.4, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat ",Situs Web: lynk.id ,,sebulan lalu,5 bintang,"https://www.google.com/maps/place/Gang+Makmoer/@-6.9178044,106.9307722,20z/data=!4m6!3m5!1s0x2e6849159755c6cd:0xaad0578d29a008f1!8m2!3d-6.9174261!4d106.9313277!16s%2Fg%2F11tc9rtyxy?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
16,-6.9174486,106.9317438,KOTA SUKABUMI,Perusahaan Media,Telepon: 0811-1030-334 ,"Alamat: Jl. Dewi Sartika, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113 ",Situs Web: linktr.ee ,Tempat terbaik untuk menjalani hidup Anda,sebulan lalu,5 bintang,"https://www.google.com/maps/place/KOTA+SUKABUMI/@-6.9178044,106.9307722,20z/data=!4m6!3m5!1s0x2e68495c2b8ceb07:0xc13e690a4be8b616!8m2!3d-6.9174486!4d106.9317438!16s%2Fg%2F11sg324jhp?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
17,-6.9174929,106.9297769,Mr Ebood Sukabumi 1,Kafe,Telepon: (0266) 6221367 ,"Alamat: 3WMH+2W2, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,,,"https://www.google.com/maps/place/Mr+Ebood+Sukabumi+1/@-6.917457,106.9294753,132m/data=!3m1!1e3!4m6!3m5!1s0x2e6849f0f58d89f3:0x32ee3db74b55b422!8m2!3d-6.9174929!4d106.9297769!16s%2Fg%2F11grqzxjgn?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
18,-6.9175403,106.9313098,INFOSMI Media,Perusahaan Media,Telepon: 0812-2030-2014 ,"Alamat: Jl Perpustakaan No.4, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43124 ",Situs Web: lynk.id ,,3 minggu lalu,5 bintang,"https://www.google.com/maps/place/INFOSMI+Media/@-6.9178044,106.9307722,20z/data=!4m6!3m5!1s0x2e68495326135c39:0x5cf36aaa57fa7530!8m2!3d-6.9175403!4d106.9313098!16s%2Fg%2F11gj727mxj?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
19,-6.9175535,106.9299471,Seecul Coffee Bar,Kedai Kopi,Telepon: 0856-2440-9994 ,"Alamat: Jl. Syamsudin. SH No.1, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113 ",,,,,"https://www.google.com/maps/place/Seecul+Coffee+Bar/@-6.9175535,106.9296252,20z/data=!4m6!3m5!1s0x2e684836aacef687:0xbced4485369cfe0a!8m2!3d-6.9175535!4d106.9299471!16s%2Fg%2F11b6_mnntl?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
