,text,scores,boxes,centroid,source,latitude,longitude,nama,kategori,telp,alamat,website,last_review,date_last_review,last_review_rating,link
109,iii,0.752280056476593,"[[1860.0, 684.0], [1870.0, 684.0], [1870.0, 696.0], [1860.0, 696.0]]",POINT (1865 690),"https://www.google.com/maps/@-6.9201876,106.9333342,20z?",,,,,,,,,,,
110,bni s,0.861935019493103,"[[1880.0, 686.0], [1914.0, 686.0], [1914.0, 700.0], [1880.0, 700.0]]",POINT (1897 693),"https://www.google.com/maps/@-6.9201876,106.9333342,20z?",,,,,,,,,,,
111,abbani kota s,0.9748271703720093,"[[114.0, 698.0], [204.0, 698.0], [204.0, 718.0], [114.0, 718.0]]",POINT (159 708),"https://www.google.com/maps/@-6.9201876,106.9333342,20z?",,,,,,,,,,,
112,sbidmaximus gw,0.9676156640052795,"[[1292.0, 708.0], [1408.0, 708.0], [1408.0, 730.0], [1292.0, 730.0]]",POINT (1350 719),"https://www.google.com/maps/@-6.9201876,106.9333342,20z?",,,,,,,,,,,
113,janji jiwa & jiwa toast,0.9984614253044128,"[[426.0, 779.0], [574.0, 779.0], [574.0, 799.0], [426.0, 799.0]]",POINT (500 789),"https://www.google.com/maps/@-6.9201876,106.9333342,20z?",,,,,,,,,,,
114,martadinata,0.9956874251365662,"[[163.0, 801.0], [261.0, 765.0], [268.0, 785.0], [170.0, 821.0]]",POINT (215.5 793),"https://www.google.com/maps/@-6.9201876,106.9333342,20z?",,,,,,,,,,,
115,re martadinata 369,0.9992195963859558,"[[426.0, 795.0], [550.0, 795.0], [550.0, 815.0], [426.0, 815.0]]",POINT (488 805),"https://www.google.com/maps/@-6.9201876,106.9333342,20z?",,,,,,,,,,,
116,posbid sis 1,0.9226348400115967,"[[988.0, 804.0], [1069.0, 799.0], [1070.0, 821.0], [989.0, 826.0]]",POINT (1029 812.5),"https://www.google.com/maps/@-6.9201876,106.9333342,20z?",,,,,,,,,,,
117,.,0.5752148032188416,"[[1080.0, 803.0], [1098.0, 803.0], [1098.0, 821.0], [1080.0, 821.0]]",POINT (1089 812),"https://www.google.com/maps/@-6.9201876,106.9333342,20z?",,,,,,,,,,,
118,lenoyo sukabumi,0.9306896924972534,"[[1200.0, 829.0], [1324.0, 827.0], [1324.0, 849.0], [1200.0, 851.0]]",POINT (1262 839),"https://www.google.com/maps/@-6.9201876,106.9333342,20z?",,,,,,,,,,,
119,la.,0.8782610297203064,"[[820.0, 849.0], [848.0, 849.0], [848.0, 863.0], [820.0, 863.0]]",POINT (834 856),"https://www.google.com/maps/@-6.9201876,106.9333342,20z?",,,,,,,,,,,
120,33,0.947421669960022,"[[844.0, 849.0], [946.0, 849.0], [946.0, 863.0], [844.0, 863.0]]",POINT (895 856),"https://www.google.com/maps/@-6.9201876,106.9333342,20z?",,,,,,,,,,,
121,gogle,0.9820685386657715,"[[961.0, 845.0], [1029.0, 850.0], [1027.0, 872.0], [959.0, 867.0]]",POINT (994 858.5),"https://www.google.com/maps/@-6.9201876,106.9333342,20z?",,,,,,,,,,,
122,pea,0.870917022228241,"[[1068.0, 849.0], [1118.0, 849.0], [1118.0, 863.0], [1068.0, 863.0]]",POINT (1093 856),"https://www.google.com/maps/@-6.9201876,106.9333342,20z?",,,,,,,,,,,
