,text,scores,boxes,centroid,source,latitude,longitude,nama,kategori,telp,alamat,website,last_review,date_last_review,last_review_rating,link
11,dago,0.8708611726760864,"[[1358.0, 167.0], [1422.0, 167.0], [1422.0, 195.0], [1358.0, 195.0]]",POINT (1390 181),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9198238,106.9313388,SMP negeri 2 sukabumi,Sekolah,,"Alamat: 3WJJ+3GG, Jl. Zaenal Zakse, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,9 bulan lalu,5 bintang,"https://www.google.com/maps/place/SMP+negeri+2+sukabumi/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e6849c8ef5458d3:0xc44c0f49f4a801e1!8m2!3d-6.9198238!4d106.9313388!16s%2Fg%2F11kr72y3ww?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D"
12,o raok andalsi..,0.6845217347145081,"[[1344.0, 233.0], [1486.0, 233.0], [1486.0, 277.0], [1344.0, 277.0]]",POINT (1415 255),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9199559,106.9313408,CILOK PEDAS RACIKAN PILISI SUKABUMI,Kafe,Telepon: 0877-3015-6549 ,"Alamat: Jl. Ir. H. Juanda No.4, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,,,"https://www.google.com/maps/place/CILOK+PEDAS+RACIKAN+PILISI+SUKABUMI/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e68495ceb11cfd1:0x872031ef3fb22ef!8m2!3d-6.9199559!4d106.9313408!16s%2Fg%2F11fd6cjtnt?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D"
13,and coffee bar,0.9986479878425598,"[[1004.0, 275.0], [1100.0, 275.0], [1100.0, 295.0], [1004.0, 295.0]]",POINT (1052 285),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.919988,106.9310191,Dago House Food and Coffee Bar,Kedai Kopi,Telepon: 0815-6320-2477 ,"Alamat: Jl. Ir. H. Juanda No.5, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,15 menit lalu,3 bintang,"https://www.google.com/maps/place/Dago+House+Food+and+Coffee+Bar/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e68483727328813:0x60849e2174dde142!8m2!3d-6.919988!4d106.9310191!16s%2Fg%2F11gcn1kwc5?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D"
14,enzy enterprise,0.9693371057510376,"[[247.0, 304.0], [381.0, 314.0], [379.0, 341.0], [245.0, 332.0]]",POINT (312.59611231101513 322.72012239020876),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9200488,106.9299775,Enzy Enterprise,Toko Game,Telepon: 0818-0834-0068 ,"Alamat: Sukabumi Indah Plaza, Jl. R. E. Martadinata, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,,,"https://www.google.com/maps/place/Enzy+Enterprise/@-6.9200488,106.9296557,20z/data=!4m6!3m5!1s0x2e684836d51c5c11:0xc7db2591c45f07b0!8m2!3d-6.9200488!4d106.9299775!16s%2Fg%2F1pzsrqgg9?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D"
15,o alam printing,0.9277394413948059,"[[516.0, 309.0], [632.0, 309.0], [632.0, 331.0], [516.0, 331.0]]",POINT (574 320),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9200391,106.9301914,Alam Printing,Percetakan Komersial,Telepon: 0857-2335-4455 ,"Alamat: Indah Plaza, Jl. R. E. Martadinata No.25 Lt. 1, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,yang terbaik🔥🔥 …,9 bulan lalu,5 bintang,"https://www.google.com/maps/place/Alam+Printing/@-6.9201876,106.9307722,20z/data=!3m1!5s0x2e68483122ef1693:0xe67b2846142b196c!4m6!3m5!1s0x2e6848372a6f4d8f:0x877e29ff30752dda!8m2!3d-6.9200391!4d106.9301914!16s%2Fg%2F11g9mzxlll?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D"
16,acell kuota,0.9836007952690125,"[[1084.0, 333.0], [1180.0, 333.0], [1180.0, 355.0], [1084.0, 355.0]]",POINT (1132 344),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9200705,106.9310553,Acell kuota,Toko,Telepon: 0838-0808-2425 ,"Alamat: Jl. Ir. H. Juanda No.1-13, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,"Buat nongkrong sore
Tapi tetap patuhi protokol kesehatan pemerintah",3 tahun lalu,3 bintang,"https://www.google.com/maps/place/Acell+kuota/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e6849f0f267ef71:0x390959ed29c6dcdd!8m2!3d-6.9200705!4d106.9310553!16s%2Fg%2F11jpnmlz3_?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D"
17,moannad',0.582648515701294,"[[405.0, 352.0], [517.0, 357.0], [515.0, 393.0], [403.0, 388.0]]",POINT (460 372.5),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",,,,,,,,,,,
18,sukabum,0.9993511438369751,"[[344.0, 369.0], [404.0, 369.0], [404.0, 389.0], [344.0, 389.0]]",POINT (374 379),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9201147,106.930158,McDonald's Sukabumi indah plaza,Restoran Cepat Saji,Telepon: (0266) 210999 ,"Alamat: Jl. R. E. Martadinata No.25, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113 ",Situs Web: mcdonalds.co.id ,,11 bulan lalu,5 bintang,"https://www.google.com/maps/place/McDonald's+Sukabumi+indah+plaza/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e6848372b715cff:0x65bf29fae2e413a1!8m2!3d-6.9201147!4d106.930158!16s%2Fg%2F1thzr60q?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D"
19,plaz,0.997464656829834,"[[450.0, 369.0], [476.0, 369.0], [476.0, 385.0], [450.0, 385.0]]",POINT (463 377),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",,,,,,,,,,,
20,ai - cha ice cream &,0.9878822565078735,"[[970.0, 383.0], [1110.0, 383.0], [1110.0, 403.0], [970.0, 403.0]]",POINT (1040 393),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9201523,106.9309982,AI - CHA ICE CREAM & TEA DAGO SUKABUMI,Toko Es Krim,,"Alamat: 3WHJ+W9Q, Jl. Ir. H. Juanda, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,"Tempatnya gerah, es nya cepet cair, ga nyampe 3 menit, karyawan nya kasih vitamun dulu tuh",sebulan lalu,1 bintang,"https://www.google.com/maps/place/AI+-+CHA+ICE+CREAM+%26+TEA+DAGO+SUKABUMI/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e6849dc12c144bb:0xaa7ae9af2a9706f2!8m2!3d-6.9201523!4d106.9309982!16s%2Fg%2F11l6t0n4_2?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D"
21,o sd mardi waluya,0.9447251558303833,"[[1324.0, 379.0], [1460.0, 379.0], [1460.0, 399.0], [1324.0, 399.0]]",POINT (1392 389),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",,,,,,,,,,,
22,youll eat chicken roasted,0.949687123298645,"[[496.0, 411.0], [688.0, 411.0], [688.0, 437.0], [496.0, 437.0]]",POINT (592 424),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9201793,106.9301713,you'll eat chicken roasted,Restoran Masakan Ayam,Telepon: 0877-2172-1888 ,"Alamat: Jl. R. E. Martadinata No.25, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113 ",Situs Web: instagram.com ,ENAK BANGETT GUYSS😋😋 …,2 tahun lalu,5 bintang,"https://www.google.com/maps/place/you'll+eat+chicken+roasted/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e6849c39fd5a815:0xd3db2688be8ce90f!8m2!3d-6.9201793!4d106.9301713!16s%2Fg%2F11jzhdj0p9?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D"
23,point b,0.9283777475357056,"[[247.0, 426.0], [324.0, 431.0], [323.0, 453.0], [246.0, 448.0]]",POINT (285 439.5),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",,,,,,,,,,,
25,ojne agen dago,0.9271167516708374,"[[1108.0, 433.0], [1250.0, 433.0], [1250.0, 460.0], [1108.0, 460.0]]",POINT (1179 446.5),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9202055,106.9309867,JNE AGEN DAGO,Kantor Perusahaan,Telepon: 0857-0300-0030 ,"Alamat: Jalan Ir. H. Juanda, No.52, Cikole, Depan Gerbang, SMP Mardi, Waluya, Gunungparang, Cikole, Sukabumi City, West Java 43111 ",,,7 bulan lalu,5 bintang,"https://www.google.com/maps/place/JNE+AGEN+DAGO/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e68483721348319:0xe0e12a6f2d1a776!8m2!3d-6.9202055!4d106.9309867!16s%2Fg%2F11gf390l74?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D"
26,o smp mardi waluya 2,0.9469079971313477,"[[1312.0, 448.0], [1470.0, 448.0], [1470.0, 468.0], [1312.0, 468.0]]",POINT (1391 458),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.920239,106.9313409,SMP Mardi Waluya 2,Sekolah Menengah Pertama,Telepon: 0811-1502-322 ,"Alamat: Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,9 bulan lalu,5 bintang,"https://www.google.com/maps/place/SMP+Mardi+Waluya+2/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e68497b9215fc43:0x579cb59d0fb318e5!8m2!3d-6.920239!4d106.9313409!16s%2Fg%2F11pg5p36yj?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D"
